이름,PER,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA
송은범,0,1.18,-7,0,0,1,2,-4,1,-3,-4,-9,-7,-34,-14,3,-1,-2,-4,-3,0,-8,0,-1,-0.75,0.01,-0.2,24.2,11.3,1.18,0.76
이상동,,0.33,-1,0,0,0,0,0,0,0,-0.1,-4,-4,0,1,1,0,-2,1,0,-1,3,0,1,-5.21,-4.87,0.43,24,72.3,0.33,0.1
이승헌,55,0.45,7,0,0,7,3,1,0,0,34.2,18,12,141,27,-3,0,1,8,1,1,34,1,2,-26.84,-6.36,-3.77,91.1,113.3,0.45,0.04
이승헌,,0.38,2,0,0,-1,0,-1,0,0,0,-5,-5,-5,-4,-5,-1,1,-2,0,0,2,0,0,-22.5,1.66,-3,41,0.1,0.38,0.29
이태양,,0.96,-2,0,0,-1,1,-5,0,-6,-10.2,-9,-9,-33,-6,1,-1,0,3,2,-2,-19,0,-1,-0.35,0.85,0.19,16.7,-4.2,0.96,1.65
신정락,-33.3,0.41,-28,0,0,-1,-5,0,0,-5,-32.2,-21,-17,-150,-33,-5,1,-4,-14,0,-4,-21,0,-2,3.16,0.24,0.28,-17.8,8.8,0.41,0.07
이인복,60,1.57,36,0,0,1,1,4,0,2,33,4,4,125,28,7,-1,0,4,1,1,14,0,2,-7.71,-2.32,-1.48,86.7,53.4,1.57,-0.44
양승철,6.6,0.48,4,0,0,0,-1,-1,0,0,12.1,4,3,59,18,-1,-1,1,9,0,3,2,0,1,-4.27,0.09,-0.06,26.7,7.7,0.48,0.09
이보근,,2.19,30,0,0,0,3,-1,6,6,30,-1,-5,112,13,2,-2,1,8,1,2,15,0,3,-7.21,0.33,-0.82,148.8,7,2.19,1
구승민,87.5,2.73,16,0,0,0,4,-2,-2,14,24.1,-4,-1,58,-5,4,0,3,5,-4,-3,15,0,-6,-2.67,0.23,-0.74,68.8,9.3,2.73,2.95
정수민,,1.84,-4,0,0,2,1,-2,0,0,6.1,-15,-15,7,-6,-1,0,-1,-5,0,-1,7,0,-1,-15.24,-4.36,-1.87,394.4,97.5,1.84,0.88
문동욱,,1.2,7,0,0,-1,-1,0,1,1,2.8,-15,-12,-8,-24,-4,0,-1,13,1,-1,-3,0,1,-7.56,1.3,-0.94,71.2,-4.2,1.2,0.56
박주홍,-5.5,0.47,-18,0,0,-1,0,1,0,-1,-13.9,-13,-11,-71,-21,-3,-2,-3,-8,0,-2,-8,-1,1,0.41,-0.14,-0.09,4.7,11,0.47,0.35
홍건희,107.5,1.94,39,0,0,-14,1,-5,1,8,-13,-31,-27,-82,-38,-6,2,-4,-11,0,2,8,0,-4,-2.18,-0.86,-0.38,34.7,24.7,1.94,0.92
김민우,114,3.57,10,-1,0,13,3,3,0,0,64.2,13,13,278,41,4,0,9,42,3,1,78,2,6,-2.41,0.09,-0.16,47.9,11,3.57,0.99
